timestamp,body_language,tone,facial_expression,overall,scenario
2025-03-24 17:28:40.457412,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:40.658152,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:40.864551,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:41.067294,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:41.231790,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:41.395546,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:41.551858,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:41.710832,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:41.867934,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:42.024788,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:42.179188,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:42.337001,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:42.493910,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:42.646987,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:42.801914,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:42.963629,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:43.117563,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:43.275173,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:43.429879,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:43.587622,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:43.741353,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:43.902475,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:44.061568,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:44.217375,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:44.372219,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:44.535201,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:44.703613,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:44.853706,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:45.015067,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:45.175389,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:45.341596,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:45.500217,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:45.652203,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:45.808885,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:45.967700,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:46.126672,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:46.278226,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:46.439522,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:46.592540,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:46.755370,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:46.926031,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:47.078948,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:47.236276,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:47.398296,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:47.570864,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:47.732346,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:47.891026,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:48.052590,68.0,10,62.0,46.666666666666664,Job Interview
